symbol,date,price
BABA,9/30/2019,167.23
BABA,8/30/2019,175.03
BABA,7/31/2019,173.11
BABA,6/28/2019,169.45
BABA,5/31/2019,149.26
BABA,4/30/2019,185.57
BABA,3/29/2019,182.45
BABA,2/28/2019,183.03
BABA,1/31/2019,168.49
BABA,12/31/2018,137.07
BABA,11/30/2018,160.86
BABA,10/31/2018,142.28
BABA,9/28/2018,164.76
BABA,8/31/2018,175.01
BABA,7/31/2018,187.23
BABA,6/29/2018,185.53
BABA,5/31/2018,198.01
BABA,4/30/2018,178.54
BABA,3/29/2018,183.54
BABA,2/28/2018,186.14
BABA,1/31/2018,204.29
BABA,12/29/2017,172.43
BABA,11/30/2017,177.08
BABA,10/31/2017,184.89
BABA,9/29/2017,172.71
BABA,8/31/2017,171.74
BABA,7/31/2017,154.95
BABA,6/30/2017,140.9
BABA,5/31/2017,122.46
BABA,4/28/2017,115.5
BABA,3/31/2017,107.83
BABA,2/28/2017,102.9
BABA,1/31/2017,101.31
BABA,12/30/2016,87.81
BABA,11/30/2016,94.02
BABA,10/31/2016,101.69
BABA,9/30/2016,105.79
BABA,8/31/2016,97.19
BABA,7/29/2016,82.48
BABA,6/30/2016,79.53
BABA,5/31/2016,82
BABA,4/29/2016,76.94
BABA,3/31/2016,79.03
BABA,2/29/2016,68.81
BABA,1/29/2016,67.03
BABA,12/31/2015,81.27
BABA,11/30/2015,84.08
BABA,10/30/2015,83.83
BABA,9/30/2015,58.97
BABA,8/31/2015,66.12
BABA,7/31/2015,78.34
BABA,6/30/2015,82.27
BABA,5/29/2015,89.32
BABA,4/30/2015,81.29
BABA,3/31/2015,83.24
BABA,2/27/2015,85.12
BABA,1/30/2015,89.08
